Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
China,1440297825,0,5540090,153,9388211,-348399,1.7,38,61%,18.47%
India,1382345085,0.01,13586631,464,2973190,-532687,2.2,28,35%,17.70%
United States of America,331341050,0.01,1937734,36,9147420,954806,1.8,38,83%,4.25%
Indonesia,274021604,0.01,2898047,151,1811570,-98955,2.3,30,56%,3.51%
Pakistan,221612785,0.02,4327022,287,770880,-233379,3.6,23,35%,2.83%
Brazil,212821986,0.01,1509890,25,8358140,21200,1.7,33,88%,2.73%
Nigeria,206984347,0.03,5175990,226,910770,-60000,5.4,18,52%,2.64%
Bangladesh,164972348,0.01,1643222,1265,130170,-369501,2.1,28,39%,2.11%
Russian Federation,145945524,0,62206,9,16376870,182456,1.8,40,74%,1.87%
Mexico,129166028,0.01,1357224,66,1943950,-60000,2.1,29,84%,1.65%
Japan,126407422,0,-383840,347,364555,71560,1.4,48,92%,1.62%
Ethiopia,115434444,0.03,2884858,115,1000000,30000,4.3,19,21%,1.47%
Philippines,109830324,0.01,1464463,368,298170,-67152,2.6,26,47%,1.41%
Egypt,102659126,0.02,1946331,103,995450,-38033,3.3,25,43%,1.31%
Vietnam,97490013,0.01,876473,314,310070,-80000,2.1,32,38%,1.25%
Democratic Republic of the Congo,90003954,0.03,2770836,40,2267050,23861,6,17,46%,1.15%
Turkey,84495243,0.01,909452,110,769630,283922,2.1,32,76%,1.08%
Iran (Islamic Republic of),84176929,0.01,1079043,52,1628550,-55000,2.2,32,76%,1.08%
Germany,83830972,0,266897,240,348560,543822,1.6,46,76%,1.07%
Thailand,69830779,0,174396,137,510890,19444,1.5,40,51%,0.90%
U.K. of Great Britain and Northern Ireland,67948282,0.01,355839,281,241930,260650,1.8,40,83%,0.87%
France,65298930,0,143783,119,547557,36527,1.9,42,82%,0.84%
Italy,60446035,0,-88249,206,294140,148943,1.3,47,69%,0.78%
United Republic of Tanzania,60012400,0.03,1728755,67,885800,-40076,4.9,18,37%,0.77%
South Africa,59436725,0.01,750420,49,1213090,145405,2.4,28,67%,0.76%
Myanmar,54473253,0.01,364380,83,653290,-163313,2.2,29,31%,0.70%
Kenya,53968739,0.02,1197323,94,569140,-10000,3.5,20,28%,0.69%
Republic of Korea,51276977,0,43877,527,97230,11731,1.1,44,82%,0.66%
Colombia,50976248,0.01,543448,46,1109500,204796,1.8,31,80%,0.65%
Spain,46757980,0,18002,94,498800,40000,1.3,45,80%,0.60%
Uganda,45974931,0.03,1471413,229,199810,168694,5,17,26%,0.59%
Argentina,45267449,0.01,415097,17,2736690,4800,2.3,32,93%,0.58%
Algeria,43984569,0.02,797990,18,2381740,-10000,3.1,29,73%,0.56%
Sudan,44019263,0.02,1036022,25,1765048,-50000,4.4,20,35%,0.56%
Ukraine,43686577,-0.01,-259876,75,579320,10000,1.4,41,69%,0.56%
Iraq,40372771,0.02,912710,93,434320,7834,3.7,21,73%,0.52%
Afghanistan,39074280,0.02,886592,60,652860,-62920,4.6,18,25%,0.50%
Poland,37839255,0,-41157,124,306230,-29395,1.4,42,60%,0.49%
Canada,37799407,0.01,331107,4,9093510,242032,1.5,41,81%,0.48%
Morocco,36985624,0.01,438791,83,446300,-51419,2.4,30,64%,0.47%
Saudi Arabia,34905942,0.02,545343,16,2149690,134979,2.3,32,84%,0.45%
Uzbekistan,33551824,0.01,487487,79,425400,-8863,2.4,28,50%,0.43%
Peru,33050211,0.01,461401,26,1280000,99069,2.3,31,79%,0.42%
Angola,33032075,0.03,1040977,26,1246700,6413,5.6,17,67%,0.42%
Malaysia,32436963,0.01,416222,99,328550,50000,2,30,78%,0.42%
Mozambique,31398811,0.03,889399,40,786380,-5000,4.9,18,38%,0.40%
Ghana,31181428,0.02,655084,137,227540,-10000,3.9,22,57%,0.40%
Yemen,29935468,0.02,664042,56,527970,-30000,3.8,20,38%,0.38%
Nepal,29225196,0.02,528098,203,143350,41710,1.9,25,21%,0.37%
Venezuela,28421581,0,-79889,32,882050,-653249,2.3,30,,0.36%
Madagascar,27808395,0.03,721711,48,581795,-1500,4.1,20,39%,0.36%
Cameroon,26655083,0.03,669483,56,472710,-4800,4.6,19,56%,0.34%
CÃ´te d'Ivoire,26486282,0.03,661730,83,318000,-8000,4.7,19,51%,0.34%
Democratic People's Republic of Korea,25798588,0,112655,214,120410,-5403,1.9,35,63%,0.33%
Australia,25550683,0.01,296686,3,7682300,158246,1.8,38,86%,0.33%
Niger,24346468,0.04,895929,19,1266700,4000,7,15,17%,0.31%
Taiwan,23824369,0,42899,673,35410,30001,1.2,42,79%,0.31%
Sri Lanka,21428970,0,89516,341,62710,-97986,2.2,34,18%,0.27%
Burkina Faso,20997293,0.03,581895,76,273600,-25000,5.2,18,31%,0.27%
Mali,20346106,0.03,592802,17,1220190,-40000,5.9,16,44%,0.26%
Romania,19214608,-0.01,-126866,84,230170,-73999,1.6,43,55%,0.25%
Malawi,19211425,0.03,501205,203,94280,-16053,4.3,18,18%,0.25%
Chile,19144605,0.01,164163,26,743532,111708,1.7,35,85%,0.25%
Kazakhstan,18815231,0.01,225280,7,2699700,-18000,2.8,31,58%,0.24%
Zambia,18468257,0.03,522925,25,743390,-8000,4.7,18,45%,0.24%
Guatemala,17971382,0.02,334096,167,107160,-9215,2.9,23,52%,0.23%
Ecuador,17688599,0.02,269392,71,248360,36400,2.4,28,63%,0.23%
Syrian Arab Republic,17571053,0.03,430523,95,183630,-427391,2.8,26,60%,0.22%
Netherlands,17141544,0,37742,508,33720,16000,1.7,43,92%,0.22%
Senegal,16816539,0.03,447563,87,192530,-20000,4.7,19,49%,0.21%
Cambodia,16758448,0.01,232423,95,176520,-30000,2.5,26,24%,0.21%
Chad,16502877,0.03,478988,13,1259200,2000,5.8,17,23%,0.21%
Somalia,15965848,0.03,450317,25,627340,-40000,6.1,17,47%,0.20%
Zimbabwe,14899771,0.01,217456,38,386850,-116858,3.6,19,38%,0.19%
