Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2511,Wheat,2021,2021,1000 t,6262,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2807,Rice,2021,2021,1000 t,901,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2513,Barley,2021,2021,1000 t,30,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2514,Maize,2021,2021,1000 t,197,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2516,Oats,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2517,Millet,2021,2021,1000 t,4,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2518,Sorghum,2021,2021,1000 t,24,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2520,Cereals,2021,2021,1000 t,22,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),4,Afghanistan,5142,Food,S2531,Potatoes,2021,2021,1000 t,892,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2511,Wheat,2021,2021,1000 t,377,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2807,Rice,2021,2021,1000 t,33,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2513,Barley,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2514,Maize,2021,2021,1000 t,7,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2515,Rye,2021,2021,1000 t,2,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2516,Oats,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2520,Cereals,2021,2021,1000 t,1,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2532,Cassava,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2531,Potatoes,2021,2021,1000 t,142,I,Imputed value
FBS,Food Balances (2010-),8,Albania,5142,Food,S2533,Sweet potatoes,2021,2021,1000 t,0,I,Imputed value
FBS,Food Balances (2010-),12,Algeria,5142,Food,S2511,Wheat,2021,2021,1000 t,8481,I,Imputed value
FBS,Food Balances (2010-),12,Algeria,5142,Food,S2807,Rice,2021,2021,1000 t,174,I,Imputed value
FBS,Food Balances (2010-),12,Algeria,5142,Food,S2513,Barley,2021,2021,1000 t,488,I,Imputed value
