Latitude,Longitude,Elevation
53.08060000,-4.02094000,366.0
53.08057000,-4.02084000,366.0
53.08053000,-4.02079000,365.0
53.08046000,-4.02084000,364.0
53.08043000,-4.02093000,364.0
53.08044000,-4.02141000,367.0
53.08043000,-4.02146000,367.0
53.08042000,-4.02154000,367.0
53.08045000,-4.02172000,368.0
53.08049000,-4.02199000,368.0
53.08050000,-4.02205000,368.0
53.08050000,-4.02217000,368.0
53.08051000,-4.02230000,368.0
53.08051000,-4.02237000,368.0
53.08051000,-4.02240000,368.0
53.08049000,-4.02248000,369.0
53.08050000,-4.02257000,369.0
53.08051000,-4.02274000,370.0
53.08050000,-4.02306000,371.0
53.08049000,-4.02328000,372.0
53.08047000,-4.02351000,372.0
53.08046000,-4.02355000,373.0
53.08044000,-4.02359000,373.0
53.08043000,-4.02361000,374.0
53.08041000,-4.02366000,375.0
53.08040000,-4.02372000,375.0
53.08040000,-4.02376000,375.0
53.08040000,-4.02382000,375.0
53.08040000,-4.02391000,375.0
53.08039000,-4.02400000,375.0
53.08036000,-4.02410000,377.0
53.08033000,-4.02416000,379.0
53.08028000,-4.02427000,382.0
53.08026000,-4.02433000,384.0
53.08024000,-4.02438000,385.0
53.08023000,-4.02444000,385.0
53.08023000,-4.02449000,385.0
53.08022000,-4.02458000,386.0
53.08021000,-4.02463000,387.0
53.08018000,-4.02469000,388.0
53.08017000,-4.02476000,389.0
53.08017000,-4.02484000,389.0
53.08018000,-4.02492000,388.0
53.08018000,-4.02500000,388.0
53.08018000,-4.02503000,388.0
53.08016000,-4.02507000,389.0
53.08015000,-4.02512000,389.0
53.08014000,-4.02517000,390.0
53.08014000,-4.02525000,389.0
53.08013000,-4.02531000,389.0
53.08012000,-4.02535000,390.0
53.08011000,-4.02538000,390.0
53.08011000,-4.02542000,390.0
53.08009000,-4.02549000,390.0
53.08007000,-4.02554000,391.0
53.08005000,-4.02557000,392.0
53.08001000,-4.02560000,394.0
53.07997000,-4.02560000,395.0
53.07992000,-4.02561000,398.0
53.07988000,-4.02564000,399.0
53.07984000,-4.02566000,401.0
53.07980000,-4.02570000,402.0
53.07973000,-4.02586000,403.0
53.07966000,-4.02608000,402.0
53.07962000,-4.02624000,401.0
53.07957000,-4.02648000,401.0
53.07951000,-4.02662000,401.0
53.07948000,-4.02667000,402.0
53.07945000,-4.02676000,402.0
53.07943000,-4.02683000,402.0
53.07942000,-4.02689000,402.0
53.07942000,-4.02693000,402.0
53.07939000,-4.02700000,403.0
53.07929000,-4.02723000,405.0
53.07924000,-4.02730000,406.0
53.07921000,-4.02738000,407.0
53.07918000,-4.02743000,407.0
53.07914000,-4.02748000,408.0
53.07913000,-4.02756000,409.0
53.07913000,-4.02763000,409.0
53.07913000,-4.02771000,409.0
53.07911000,-4.02778000,409.0
53.07910000,-4.02781000,409.0
53.07910000,-4.02780000,409.0
53.07909000,-4.02785000,409.0
53.07907000,-4.02791000,409.0
53.07905000,-4.02799000,409.0
53.07903000,-4.02809000,409.0
53.07903000,-4.02816000,409.0
53.07901000,-4.02821000,409.0
53.07900000,-4.02828000,410.0
53.07897000,-4.02842000,409.0
53.07896000,-4.02850000,409.0
53.07897000,-4.02859000,408.0
53.07898000,-4.02872000,407.0
53.07897000,-4.02884000,407.0
53.07896000,-4.02892000,407.0
53.07895000,-4.02898000,407.0
53.07894000,-4.02902000,407.0
53.07892000,-4.02910000,407.0
